id,mutOperator,opcode,returnType,localVarsCount,isInTryCatch,isInFinalBlock,className,methodName,blockNumber,lineNumber,distance,killed,numTests
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],UOI3Mutator,22,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,61,48,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],ABSMutator,22,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,61,9,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],MemberVariableMutator,181,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,61,55,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],UOI2Mutator,22,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,61,45,1,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],UOI1Mutator,22,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,61,45,1,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],UOI4Mutator,22,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,61,48,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],MemberVariableMutator,181,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,4,62,66,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],NegateConditionalsMutator,198,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,62,3,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],ROR5Mutator,198,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,62,3,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],RemoveConditionalMutator_EQUAL_ELSE,198,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,62,55,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],RemoveConditionalMutator_EQUAL_IF,198,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,1,62,110,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],MemberVariableMutator,181,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,4,63,80,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[32] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],MemberVariableMutator,181,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,4,64,66,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[36] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],UOI4Mutator,22,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,4,65,48,0,117
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=<init> methodDesc=(Lorg/apache/commons/csv/CSVParser;[Ljava/lang/String;Ljava/lang/String;JJ)V] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],MemberVariableMutator,181,none,6,1,1,org.apache.commons.csv.CSVRecord,<init>,4,65,60,0,117
